"SN","Age","Gender","Item ID","Item Name","Price"
"Iloni35","20","Male","93","Apocalyptic Battlescythe","4.49"
"Aidaira26","21","Male","12","Dawne","3.36"
"Irim47","17","Male","5","Putrid Fan","2.63"
"Irith83","17","Male","123","Twilight's Carver","2.55"
"Philodil43","22","Male","154","Feral Katana","4.11"
"Hainaria90","8","Male","8","Purgatory, Gem of Regret","2.22"
"Aerithllora36","40","Male","148","Warmonger, Gift of Suffering's End","4.65"
"Undirra90","28","Male","27","Riddle, Tribute of Ended Dreams","3.38"
"Eolideu96","18","Male","111","Misery's End","1.79"
"Aesurstilis64","36","Male","139","Mercy, Katana of Dismay","4.25"
"Jiskimsda56","24","Male","126","Exiled Mithril Longsword","1.08"
"Jiskim75","36","Female","173","Stormfury Longsword","4.01"
"Lirtassa77","20","Female","90","Betrayer","4.12"
"Hairith93","32","Male","23","Crucifer","1.62"
"Yarith71","8","Male","44","Bonecarvin Battle Axe","4.36"
"Sondim43","23","Male","94","Mourning Blade","3.64"
"Zhisrisu83","24","Male","174","Primitive Blade","1.36"
"Rarallo90","9","Male","156","Soul-Forged Steel Shortsword","4.53"
"Inadeu25","12","Other / Non-Disclosed","176","Relentless Iron Skewer","2.12"
"Haerithp41","23","Male","154","Feral Katana","4.11"
"Streural92","35","Male","10","Sleepwalker","1.81"
"Eoralphos86","11","Male","131","Fury","2.99"
"Shaidanu32","16","Male","172","Blade of the Grave","2.71"
"Lassimla92","20","Male","158","Darkheart, Butcher of the Champion","1.94"
"Heosurnuru52","23","Male","70","Hope's End","4.28"
"Ilara98","17","Male","71","Demise","3.09"
"Lirtistanya48","7","Male","98","Deadline, Voice Of Subtlety","1.29"
"Sundaky74","25","Male","117","Heartstriker, Legacy of the Light","4.71"
"Sondassasya91","20","Female","170","Shadowsteel","1.74"
"Arithllorin55","21","Male","90","Betrayer","4.12"
"Hairith93","32","Male","138","Peacekeeper, Wit of Dark Magic","2.63"
"Ethralan59","33","Male","129","Fate, Vengeance of Eternal Justice","2.88"
"Alarap40","24","Female","117","Heartstriker, Legacy of the Light","4.71"
"Pharithdil38","16","Female","0","Splinter","1.89"
"Chamjaskya75","17","Male","180","Stormcaller","2.77"
"Ila44","20","Male","104","Gladiator's Glaive","1.84"
"Airithrin43","21","Female","108","Extraction, Quickblade Of Trembling Hands","2.26"
"Chanjasksda31","33","Male","17","Lazarus, Terror of the Earth","1.96"
"Aiduecal76","8","Male","9","Thorn, Conqueror of the Corrupted","1.42"
"Heulaedru70","21","Male","155","War-Forged Gold Deflector","4.04"
"Eollym91","20","Male","18","Torchlight, Bond of Storms","3.75"
"Lirtastan49","25","Male","127","Heartseeker, Reaver of Souls","1.34"
"Undirrasta74","20","Male","64","Fusion Pummel","2.42"
"Chrathybust28","21","Male","16","Restored Bauble","2.15"
"Saralp86","25","Male","64","Fusion Pummel","2.42"
"Iskossaya95","23","Male","91","Celeste","2.92"
"Lisosiast26","24","Male","6","Rusty Skull","3.58"
"Eustyria89","30","Male","60","Wolf","2.7"
"Eusty71","25","Male","84","Arcane Gem","4.81"
"Frichilsa31","20","Male","14","Possessed Core","2.82"
"Filon68","23","Male","176","Relentless Iron Skewer","2.12"
"Palyon91","28","Male","1","Crucifer","3.67"
"Assistast50","23","Female","118","Ghost Reaver, Longsword of Magic","2.95"
"Seostylis96","16","Female","94","Mourning Blade","3.64"
"Iskadar31","25","Male","111","Misery's End","1.79"
"Pheodaisun84","20","Male","108","Extraction, Quickblade Of Trembling Hands","2.26"
"Yarmol79","17","Male","79","Alpha, Oath of Zeal","1.31"
"Aeri79","23","Female","107","Splitter, Foe Of Subtlety","4.15"
"Undosian34","30","Female","105","Hailstorm Shadowsteel Scythe","1.02"
"Aesririam61","39","Female","2","Verdict","2.65"
"Firon67","23","Female","68","Storm-Weaver, Slayer of Inception","4.39"
"Jiskjask76","21","Male","31","Trickster","4.59"
"Chanirra64","18","Male","25","Hero Cane","4.78"
"Isristira52","11","Female","41","Orbit","3.85"
"Chaniman66","24","Male","164","Exiled Doomblade","1.31"
"Yarithrgue83","23","Male","181","Reaper's Toll","4.12"
"Airi27","24","Male","4","Bloodlord's Fetish","1.91"
"Undilsan50","22","Male","94","Mourning Blade","3.64"
"Aidaira26","21","Male","82","Nirvana","1.77"
"Chamalo71","34","Male","126","Exiled Mithril Longsword","1.08"
"Undadar97","25","Male","98","Deadline, Voice Of Subtlety","1.29"
"Sundaky74","25","Male","60","Wolf","2.7"
"Lisirra44","21","Male","180","Stormcaller","2.77"
"Chamast86","35","Male","93","Apocalyptic Battlescythe","4.49"
"Ardcil81","38","Male","163","Thunderfury Scimitar","4.16"
"Heudai45","15","Male","167","Malice, Legacy of the Queen","3.25"
"Chaniman66","24","Male","97","Swan Song, Gouger Of Terror","1.92"
"Syalallodil59","20","Male","134","Undead Crusader","2.15"
